CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,IC50 (uM)
22RV1_PROSTATE,22Rv1,Nilotinib,ABL,8.0
5637_URINARY_TRACT,5637,Nilotinib,ABL,7.475354671
639V_URINARY_TRACT,639-V,Nilotinib,ABL,8.0
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,Nilotinib,ABL,1.910434365
769P_KIDNEY,769-P,Nilotinib,ABL,8.0
786O_KIDNEY,786-O,Nilotinib,ABL,8.0
8305C_THYROID,8305C,Nilotinib,ABL,5.635250228
8505C_THYROID,8505C,Nilotinib,ABL,6.852528572
A172_CENTRAL_NERVOUS_SYSTEM,A172,Nilotinib,ABL,8.0
A204_SOFT_TISSUE,A-204,Nilotinib,ABL,1.081994414
A2058_SKIN,A2058,Nilotinib,ABL,8.0
A253_SALIVARY_GLAND,A-253,Nilotinib,ABL,8.0
A2780_OVARY,A2780,Nilotinib,ABL,6.804694176
A375_SKIN,A-375,Nilotinib,ABL,8.0
A549_LUNG,A549,Nilotinib,ABL,6.0388937
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL-SIL,Nilotinib,ABL,0.002952101
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AMO-1,Nilotinib,ABL,2.226455688
AN3CA_ENDOMETRIUM,AN3 CA,Nilotinib,ABL,8.0
ASPC1_PANCREAS,AsPC-1,Nilotinib,ABL,8.0
AU565_BREAST,AU565,Nilotinib,ABL,7.879194736
AZ521_STOMACH,AZ-521,Nilotinib,ABL,8.0
BCPAP_THYROID,B-CPAP,Nilotinib,ABL,7.456087112
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BDCM,Nilotinib,ABL,8.0
BFTC909_KIDNEY,BFTC-909,Nilotinib,ABL,8.0
BGC823_STOMACH,BGC-823,Nilotinib,ABL,8.0
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL-41,Nilotinib,ABL,8.0
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL-70,Nilotinib,ABL,8.0
BT20_BREAST,BT-20,Nilotinib,ABL,8.0
BT474_BREAST,BT-474,Nilotinib,ABL,6.892540932
BT549_BREAST,BT-549,Nilotinib,ABL,8.0
C2BBE1_LARGE_INTESTINE,C2BBe1,Nilotinib,ABL,6.82102108
C32_SKIN,C32,Nilotinib,ABL,8.0
CAKI2_KIDNEY,Caki-2,Nilotinib,ABL,8.0
CAL78_BONE,CAL-78,Nilotinib,ABL,8.0
CAL851_BREAST,CAL-85-1,Nilotinib,ABL,8.0
CALU1_LUNG,Calu-1,Nilotinib,ABL,8.0
CALU3_LUNG,Calu-3,Nilotinib,ABL,8.0
CAMA1_BREAST,CAMA-1,Nilotinib,ABL,6.332070827
CAPAN2_PANCREAS,Capan-2,Nilotinib,ABL,0.062944786
CAS1_CENTRAL_NERVOUS_SYSTEM,CAS-1,Nilotinib,ABL,8.0
CHL1_SKIN,CHL-1,Nilotinib,ABL,8.0
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CI-1,Nilotinib,ABL,8.0
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMK-86,Nilotinib,ABL,8.0
COLO201_LARGE_INTESTINE,COLO 201,Nilotinib,ABL,8.0
COLO205_LARGE_INTESTINE,COLO 205,Nilotinib,ABL,8.0
COLO320_LARGE_INTESTINE,COLO-320,Nilotinib,ABL,4.991260529
COLO677_LUNG,COLO-677,Nilotinib,ABL,6.751279831
COLO678_LARGE_INTESTINE,COLO-678,Nilotinib,ABL,8.0
COLO679_SKIN,COLO-679,Nilotinib,ABL,7.357892513
COLO699_LUNG,COLO-699,Nilotinib,ABL,3.351381302
CORL23_LUNG,COR-L23,Nilotinib,ABL,8.0
COV318_OVARY,COV318,Nilotinib,ABL,7.686830521
COV504_OVARY,COV504,Nilotinib,ABL,8.0
DAOY_CENTRAL_NERVOUS_SYSTEM,Daoy,Nilotinib,ABL,8.0
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,DBTRG-05MG,Nilotinib,ABL,8.0
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DEL,Nilotinib,ABL,6.26444149
DETROIT562_UPPER_AERODIGESTIVE_TRACT,Detroit 562,Nilotinib,ABL,8.0
DKMG_CENTRAL_NERVOUS_SYSTEM,DK-MG,Nilotinib,ABL,8.0
DMS114_LUNG,DMS 114,Nilotinib,ABL,6.058652401
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH-2,Nilotinib,ABL,8.0
