p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.74762299605e-10	8.40606661098e-08	Neuroactive ligand-receptor interaction - Homo sapiens (human)	KEGG	path:hsa04080	GRIA3; GABRR2; CHRNA3; GRIK5; LTB4R; RLN3; GABBR2; AGT; GIPR; CGA; PTGER1; GAL; UCN; TRPV1; KISS1R; KISS1; PTH2R; NPFFR1; CHRNA5; POMC; CHRNA9; ADRA1D; SST; DRD4; GRIK3; GABRP; OPRD1; GRIN2D; GRIK1; CALCA; CALCB	2568; 2570; 5746; 2906; 7442; 1081; 5731; 2696; 6750; 64106; 146; 1136; 796; 797; 183; 1241; 3814; 55584; 1815; 9568; 5443; 117579; 2892; 2897; 2899; 2901; 7349; 4985; 51083; 1138; 84634	341	341
4.96653373812e-09	1.19445136402e-06	Neuronal System	Reactome	R-HSA-112316	LIN7A; SLC6A3; KCNC1; KCNG1; GABRR2; KCNAB3; CHAT; TSPOAP1; GABBR2; PPFIA4; KCNK9; NEFL; CACNB1; KCNS2; GRIA3; GRIN2D; NLGN4X; GNB3; CHRNA5; CAMK2B; CHRNA3; ACHE; CHRNA9; KCNH7; KCNJ6; GRIK1; GRIK3; GRIK5; ABCC9; GNGT1; SLC1A7	6512; 1138; 2784; 3788; 2892; 55584; 816; 782; 2897; 57502; 1103; 8497; 2906; 2899; 9256; 3755; 51305; 2792; 8825; 6531; 4747; 43; 3746; 10060; 90134; 9568; 9196; 3763; 2570; 1136; 2901	391	391
3.22900148406e-08	5.17716571277e-06	Transmission across Chemical Synapses	Reactome	R-HSA-112315	LIN7A; SLC6A3; GRIA3; GABRR2; CHAT; TSPOAP1; GABBR2; PPFIA4; NEFL; CACNB1; GNGT1; GNB3; CHRNA5; CAMK2B; CHRNA3; ACHE; CHRNA9; KCNJ6; GRIK1; GRIK3; GRIK5; GRIN2D; SLC1A7	6512; 2784; 3763; 1103; 8497; 2906; 2570; 55584; 2892; 2792; 2899; 1136; 9256; 816; 782; 2901; 8825; 6531; 4747; 1138; 2897; 43; 9568	249	249
5.28988638861e-06	0.000636108838231	Scavenging of heme from plasma	Reactome	R-HSA-2168880	AMBP; HP; HBA2; ALB; HPX	213; 3040; 259; 3240; 3263	12	12
9.72512450298e-06	0.00090759635892	Neurotransmitter receptors and postsynaptic signal transmission	Reactome	R-HSA-112314	LIN7A; NEFL; KCNJ6; GRIA3; GABRR2; GRIK3; GRIK5; GNB3; GRIK1; CHRNA5; CAMK2B; GRIN2D; CHRNA3; GNGT1; GABBR2; CHRNA9	2784; 1138; 3763; 2906; 2570; 2892; 2792; 2899; 1136; 55584; 816; 2901; 8825; 4747; 2897; 9568	185	185
1.13213683025e-05	0.00090759635892	GPCR ligand binding	Reactome	R-HSA-500792	TAS2R20; LTB4R; RLN3; GABBR2; AGT; GIPR; CGA; PTGER1; GAL; CASR; UCN; WNT2B; KISS1R; KISS1; RAMP1; PTH2R; GNB3; NPFFR1; POMC; FFAR2; ADRA1D; SST; DRD4; OPRD1; GNGT1; TAS1R1; CALCA; CALCB	2784; 4985; 7349; 146; 797; 259295; 5746; 846; 3814; 64106; 6750; 2792; 1815; 1241; 51083; 1081; 9568; 2867; 183; 796; 80835; 10267; 84634; 5443; 2696; 5731; 7482; 117579	476	476
3.53951595403e-05	0.00243215310556	Potassium Channels	Reactome	R-HSA-1296071	KCNH7; KCNC1; KCNG1; KCNAB3; GNB3; ABCC9; KCNS2; KCNK9; GABBR2; GNGT1; KCNJ6	9196; 2784; 3763; 3746; 10060; 3755; 51305; 3788; 90134; 2792; 9568	103	103
7.81249432742e-05	0.00469726221436	Dopaminergic synapse - Homo sapiens (human)	KEGG	path:hsa04728	SLC6A3; CALY; KCNJ6; CALML3; GRIA3; DRD4; KIF5C; GNB3; MAPK10; CAMK2B; GNGT1; DDC	3763; 1644; 2784; 2792; 3800; 1815; 810; 816; 2892; 6531; 50632; 5602	132	132
0.000144370950267	0.00771582523096	Phase 0 - rapid depolarisation	Reactome	R-HSA-5576892	SCN11A; SCN2A; SCN1B; CACNB1; SCN3A	6326; 11280; 6324; 782; 6328	22	22
0.000268124193723	0.0126472611095	PIWI-interacting RNA (piRNA) biogenesis	Reactome	R-HSA-5601884	TDRD12; TDRD1; TDRD9; MAEL	91646; 56165; 84944; 122402	14	14
